Species	mpd.obs	mpd.obs.z	TaxDiv
Agkistrodon_contortrix_contortrix	497.70548	0.7148683	2.95999806
Agkistrodon_contortrix_mokasen	280.94443	-0.9662472	1.78588693
Agkistrodon_piscivorus_conanti	604.82643	2.6326789	4.593459888
Agkistrodon_piscivorus_leucostoma	626.37926	3.4002151	3.355355896
Agkistrodon_piscivorus_piscivorus	589.9516	2.1887637	3.336069474
Crotalus_adamanteus	118.027	-2.7188845	1
Crotalus_aquilus	345.06247	-1.576671	1.960131704
Crotalus_atrox_East	244.5801	-3.5509394	1.624327837
Crotalus_cerastes_cerastes	405.35627	-1.4315909	1.995557199
Crotalus_durissus_terrificus	78.25416	-4.4540414	1
Crotalus_enyo_enyo	442.91958	1.0252797	2.232930785
Crotalus_horridus_atricaudatus	314.82411	-2.5112084	1.873306886
Crotalus_horridus_horridus	152.14046	-4.904497	1
Crotalus_lepidus_klauberi	731.74767	4.611078	2.638249909
Crotalus_lepidus_lepidus	375.58051	-1.3172832	1.78588693
Crotalus_molossus_molossus	315.34687	-2.0741073	2.074813375
Crotalus_oreganus_lutosus	233.84064	-2.9667902	1.480936218
Crotalus_oreganus_oreganus_North	219.16988	-3.3961368	1.277531917
Crotalus_polystictus	204.27022	-2.5892034	1.480936218
Crotalus_pyrrhus	370.9468	-1.6029746	2.232930785
Crotalus_ravus_ravus	377.63667	-0.7922071	1.926070224
Crotalus_ruber_ruber	225.0117	-5.2000311	1.277531917
Crotalus_scutulatus_scutulatus_Chihuahuan	244.97802	-4.0840096	1.480936218
Crotalus_triseriatus_East	421.46292	-0.7376762	2.546627406
Crotalus_triseriatus_West	396.03347	0.464148	2.416477556
Crotalus_viridis_viridis	190.81815	-4.1695243	1.277531917
Sistrurus_catenatus	185.84497	-2.4497387	1.277531917
Sistrurus_tergeminus_edwardsii	555.97519	1.5654446	2.148466688
Sistrurus_miliarius_barbouri	704.31875	4.193229	3.438875923
Sistrurus_tergeminus_tergeminus	218.31209	-1.0656051	1.480936218
