Sample,Species,Toxin_count
Abili-CLP2469,Agkistrodon_bilineatus,38
Abili-CLP2470,Agkistrodon_bilineatus,39
Acont-CLP2223,Agkistrodon_contortrix_contortrix,49
Acont-CLP2224,Agkistrodon_contortrix_contortrix,48
Acont-KW1091,Agkistrodon_contortrix_contortrix,59
Acont-CLP2702,Agkistrodon_contortrix_hybrid,51
Acont-CLP2215,Agkistrodon_contortrix_laticinctus,46
Acont-DRR0033,Agkistrodon_contortrix_laticinctus,51
Acont-KW2155,Agkistrodon_contortrix_laticinctus,55
Acont-DRR0002,Agkistrodon_contortrix_mokasen,55
Acont-DRR0001,Agkistrodon_contortrix_pictigaster,43
Apisc-KW1996,Agkistrodon_piscivorus_conanti,61
Apisc-Ap03,Agkistrodon_piscivorus_hybrid,59
Apisc-KW1750,Agkistrodon_piscivorus_hybrid,59
Apisc-MM0024,Agkistrodon_piscivorus_hybrid,57
Apisc-Ap07,Agkistrodon_piscivorus_leucostoma,63
Apisc-CLP2700,Agkistrodon_piscivorus_leucostoma,63
Apisc-CLP2701,Agkistrodon_piscivorus_leucostoma,70
Apisc-KW2031,Agkistrodon_piscivorus_piscivorus,59
Apisc-KW2035,Agkistrodon_piscivorus_piscivorus,60
Aruss-CLP2622,Agkistrodon_russeolus,46
Aruss-CLP2623,Agkistrodon_russeolus,37
Cadam-DRR0105,Crotalus_adamanteus,58
Cadam-DRR0106,Crotalus_adamanteus,48
Cadam-KW0944,Crotalus_adamanteus,47
Cadam-KW1264,Crotalus_adamanteus,53
Cadam-KW1942,Crotalus_adamanteus,56
Cadam-KW2161,Crotalus_adamanteus,49
Cadam-KW2170,Crotalus_adamanteus,41
Cadam-KW2171,Crotalus_adamanteus,47
Cadam-KW2184,Crotalus_adamanteus,40
Cadam-MM0114,Crotalus_adamanteus,48
Caqui-CLP2290,Crotalus_aquilus,64
Caqui-CLP2291,Crotalus_aquilus,54
Caqui-CLP2299,Crotalus_aquilus,57
Caqui-CLP2301,Crotalus_aquilus,63
Caqui-CLP2302,Crotalus_aquilus,56
Caqui-CLP2303,Crotalus_aquilus,55
Caqui-CLP2414,Crotalus_aquilus,41
Carms-CLP2402,Crotalus_armstrongi,41
Carms-CLP2472,Crotalus_armstrongi,58
Carms-CLP2473,Crotalus_armstrongi,65
Catro-CLP1915,Crotalus_atrox_East,56
Catro-CLP1919,Crotalus_atrox_East,50
Catro-CLP1925,Crotalus_atrox_East,49
Catro-CLP2329,Crotalus_atrox_East,32
Catro-CLP2332,Crotalus_atrox_East,44
Catro-CLP2706,Crotalus_atrox_East,50
Catro-KW1109,Crotalus_atrox_East,61
Catro-MM0251,Crotalus_atrox_East,60
Catro-MM0254,Crotalus_atrox_East,58
Catro-MM0255,Crotalus_atrox_East,65
Catro-CLP1946,Crotalus_atrox_West,63
Catro-CLP1952,Crotalus_atrox_West,50
Catro-CLP2176,Crotalus_atrox_West,61
Cbasi-CLP2466,Crotalus_basiliscus,50
Cbasi-CLP2467,Crotalus_basiliscus,45
Cbasi-CLP2468,Crotalus_basiliscus,61
Ccamp-CLP2396,Crotalus_campbelli,44
Ccamp-CLP2397,Crotalus_campbelli,55
Ccamp-CLP2398,Crotalus_campbelli,58
Ccera-CLP2065,Crotalus_cerastes_cerastes,51
Ccera-CLP2068,Crotalus_cerastes_cerastes,56
Ccera-CLP2109,Crotalus_cerastes_cerastes,58
Ccera-CLP2105,Crotalus_cerastes_cercobombus,57
Ccera-CLP2137,Crotalus_cerastes_cercobombus,53
Ccera-KW1744,Crotalus_cerastes_cercobombus,50
Ccera-CLP2057,Crotalus_cerastes_laterorepens,53
Ccera-CLP2071,Crotalus_cerastes_laterorepens,54
Ccerb-CLP1933,Crotalus_cerberus,57
Ccerb-CLP1942,Crotalus_cerberus,52
Ccerb-CLP2163,Crotalus_cerberus,59
Cduri-SB0275,Crotalus_durissus_collilineatus,
Cduri-SB0276,Crotalus_durissus_collilineatus,32
Cduri-SB0277,Crotalus_durissus_collilineatus,26
Cduri-SB0042,Crotalus_durissus_terrificus,30
Cduri-SB0043,Crotalus_durissus_terrificus,41
Cduri-SB0044,Crotalus_durissus_terrificus,30
Cenyo-CLP2636,Crotalus_enyo_enyo,48
Cenyo-CLP2638,Crotalus_enyo_enyo,49
Cenyo-CLP2644,Crotalus_enyo_enyo,53
Cenyo-CLP2645,Crotalus_enyo_enyo,44
Cenyo-CLP2655,Crotalus_enyo_enyo,47
Ceric-CLP2391,Crotalus_ericsmithi,45
Chorr-KW1089,Crotalus_horridus_atricaudatus,40
Chorr-KW1298,Crotalus_horridus_atricaudatus,38
Chorr-KW1369,Crotalus_horridus_atricaudatus,42
Chorr-DRR0085,Crotalus_horridus_horridus,45
Cinte-CLP2309,Crotalus_intermedius_gloydi,51
Cinte-CLP2323,Crotalus_intermedius_gloydi,50
Clann-CLP2394,Crotalus_lannomi,43
Clepi-CLP1932,Crotalus_lepidus_klauberi,50
Clepi-CLP2201,Crotalus_lepidus_klauberi,46
Clepi-CLP2202,Crotalus_lepidus_klauberi,44
Clepi-CLP2258,Crotalus_lepidus_klauberi,65
Clepi-CLP2346,Crotalus_lepidus_klauberi,67
Clepi-CLP1993,Crotalus_lepidus_lepidus,56
