Sample,Species,Toxin_count
Abili-CLP2469,Agkistrodon_bilineatus,6
Abili-CLP2470,Agkistrodon_bilineatus,5
Acont-CLP2223,Agkistrodon_contortrix_contortrix,7
Acont-CLP2224,Agkistrodon_contortrix_contortrix,7
Acont-KW1091,Agkistrodon_contortrix_contortrix,12
Acont-CLP2702,Agkistrodon_contortrix_hybrid,6
Acont-CLP2215,Agkistrodon_contortrix_laticinctus,6
Acont-DRR0033,Agkistrodon_contortrix_laticinctus,7
Acont-KW2155,Agkistrodon_contortrix_laticinctus,1
Acont-DRR0002,Agkistrodon_contortrix_mokasen,10
Acont-DRR0001,Agkistrodon_contortrix_pictigaster,7
Apisc-KW1996,Agkistrodon_piscivorus_conanti,9
Apisc-Ap03,Agkistrodon_piscivorus_hybrid,9
Apisc-KW1750,Agkistrodon_piscivorus_hybrid,9
Apisc-MM0024,Agkistrodon_piscivorus_hybrid,11
Apisc-Ap07,Agkistrodon_piscivorus_leucostoma,14
Apisc-CLP2700,Agkistrodon_piscivorus_leucostoma,11
Apisc-CLP2701,Agkistrodon_piscivorus_leucostoma,10
Apisc-KW2031,Agkistrodon_piscivorus_piscivorus,11
Apisc-KW2035,Agkistrodon_piscivorus_piscivorus,11
Aruss-CLP2622,Agkistrodon_russeolus,8
Aruss-CLP2623,Agkistrodon_russeolus,6
Cadam-DRR0105,Crotalus_adamanteus,11
Cadam-DRR0106,Crotalus_adamanteus,11
Cadam-KW0944,Crotalus_adamanteus,10
Cadam-KW1264,Crotalus_adamanteus,10
Cadam-KW1942,Crotalus_adamanteus,10
Cadam-KW2161,Crotalus_adamanteus,10
Cadam-KW2170,Crotalus_adamanteus,12
Cadam-KW2171,Crotalus_adamanteus,11
Cadam-KW2184,Crotalus_adamanteus,9
Cadam-MM0114,Crotalus_adamanteus,10
Caqui-CLP2290,Crotalus_aquilus,14
Caqui-CLP2291,Crotalus_aquilus,14
Caqui-CLP2299,Crotalus_aquilus,14
Caqui-CLP2301,Crotalus_aquilus,14
Caqui-CLP2302,Crotalus_aquilus,13
Caqui-CLP2303,Crotalus_aquilus,12
Caqui-CLP2414,Crotalus_aquilus,5
Carms-CLP2402,Crotalus_armstrongi,11
Carms-CLP2472,Crotalus_armstrongi,9
Carms-CLP2473,Crotalus_armstrongi,16
Catro-CLP1915,Crotalus_atrox_East,16
Catro-CLP1919,Crotalus_atrox_East,14
Catro-CLP1925,Crotalus_atrox_East,12
Catro-CLP2329,Crotalus_atrox_East,8
Catro-CLP2332,Crotalus_atrox_East,10
Catro-CLP2706,Crotalus_atrox_East,10
Catro-KW1109,Crotalus_atrox_East,16
Catro-MM0251,Crotalus_atrox_East,16
Catro-MM0254,Crotalus_atrox_East,14
Catro-MM0255,Crotalus_atrox_East,19
Catro-CLP1946,Crotalus_atrox_West,21
Catro-CLP1952,Crotalus_atrox_West,15
Catro-CLP2176,Crotalus_atrox_West,24
Cbasi-CLP2466,Crotalus_basiliscus,2
Cbasi-CLP2467,Crotalus_basiliscus,11
Cbasi-CLP2468,Crotalus_basiliscus,11
Ccamp-CLP2396,Crotalus_campbelli,10
Ccamp-CLP2397,Crotalus_campbelli,12
Ccamp-CLP2398,Crotalus_campbelli,13
Ccera-CLP2065,Crotalus_cerastes_cerastes,13
Ccera-CLP2068,Crotalus_cerastes_cerastes,13
Ccera-CLP2109,Crotalus_cerastes_cerastes,15
Ccera-CLP2105,Crotalus_cerastes_cercobombus,17
Ccera-CLP2137,Crotalus_cerastes_cercobombus,11
Ccera-KW1744,Crotalus_cerastes_cercobombus,10
Ccera-CLP2057,Crotalus_cerastes_laterorepens,12
Ccera-CLP2071,Crotalus_cerastes_laterorepens,13
Ccerb-CLP1933,Crotalus_cerberus,18
Ccerb-CLP1942,Crotalus_cerberus,16
Ccerb-CLP2163,Crotalus_cerberus,13
Cduri-SB0276,Crotalus_durissus_collilineatus,5
Cduri-SB0277,Crotalus_durissus_collilineatus,2
Cduri-SB0042,Crotalus_durissus_terrificus,4
Cduri-SB0043,Crotalus_durissus_terrificus,4
Cduri-SB0044,Crotalus_durissus_terrificus,2
Cenyo-CLP2636,Crotalus_enyo_enyo,8
Cenyo-CLP2638,Crotalus_enyo_enyo,5
Cenyo-CLP2644,Crotalus_enyo_enyo,7
Cenyo-CLP2645,Crotalus_enyo_enyo,5
Cenyo-CLP2655,Crotalus_enyo_enyo,7
Ceric-CLP2391,Crotalus_ericsmithi,11
Chorr-KW1089,Crotalus_horridus_atricaudatus,8
Chorr-KW1298,Crotalus_horridus_atricaudatus,6
Chorr-KW1369,Crotalus_horridus_atricaudatus,6
Chorr-DRR0085,Crotalus_horridus_horridus,8
Cinte-CLP2309,Crotalus_intermedius_gloydi,9
